symbol,name,industry,exchange,sic,quandl_price_code,quandl_ratios_code,quandl_wiki_code
ADGE,"American Dg Energy Inc.","Electrical Equipment",AMEX,3600,GOOG/AMEX_ADGE,DMDRN/ADGE_ALLFINANCIALRATIOS
ADI,"Analog Devices",Semiconductor,NASDAQ,3674,GOOG/NASDAQ_ADI,DMDRN/ADI_ALLFINANCIALRATIOS,WIKI/ADI
ADK,"Adcare Health Systems Inc","Medical Services",AMEX,8000,GOOG/AMEX_ADK,DMDRN/ADK_ALLFINANCIALRATIOS
ADLI,"American Dental Tech.","Medical Supplies",PINK,8060,GOOG/PINK_ADLI,DMDRN/ADLI_ALLFINANCIALRATIOS
ADLS,"Advanced Life Sciences Hldgs",Drug,PINK,2834,GOOG/PINK_ADLS,DMDRN/ADLS_ALLFINANCIALRATIOS
ADM,"Archer-Daniels-Midland Company","Food Processing",NYSE,2000,GOOG/NYSE_ADM,DMDRN/ADM_ALLFINANCIALRATIOS,WIKI/ADM
ADMP,"Adamis Pharmaceuticals Corp",Drug,PINK,2834,GOOG/PINK_ADMP,DMDRN/ADMP_ALLFINANCIALRATIOS
ADMT,"Adm Tronics Unlimited Inc","Chemical (Specialty)",PINK,,GOOG/PINK_ADMT,DMDRN/ADMT_ALLFINANCIALRATIOS
ADNC,"Audience Inc.",Semiconductor,NASDAQ,3674,GOOG/NASDAQ_ADNC,DMDRN/ADNC_ALLFINANCIALRATIOS,WIKI/ADNC
ADNT,"Ardent Mines Limited","Precious Metals",PINK,1041,GOOG/PINK_ADNT,DMDRN/ADNT_ALLFINANCIALRATIOS
ADNY,"Adino Energy Corp","Oil/Gas Distribution",PINK,4610,GOOG/PINK_ADNY,DMDRN/ADNY_ALLFINANCIALRATIOS
ADP,"Automatic Data Processing","Computer Software & Svcs",NASDAQ,3579,GOOG/NASDAQ_ADP,DMDRN/ADP_ALLFINANCIALRATIOS,WIKI/ADP
ADS,"Alliance Data Systems Corp.","Information Services",NYSE,,GOOG/NYSE_ADS,DMDRN/ADS_ALLFINANCIALRATIOS,WIKI/ADS
ADSK,Autodesk,"Computer Software & Svcs",NASDAQ,3579,GOOG/NASDAQ_ADSK,DMDRN/ADSK_ALLFINANCIALRATIOS,WIKI/ADSK
ADST,"AdStar.com Inc.",Advertising,PINK,7310,GOOG/PINK_ADST,DMDRN/ADST_ALLFINANCIALRATIOS
ADSV,"Allied Security Innovations",Computers/Peripherals,PINK,3573,GOOG/PINK_ADSV,DMDRN/ADSV_ALLFINANCIALRATIOS
ADT,"ADT Corp. (The)",Electronics,NYSE,3670,GOOG/NYSE_ADT,DMDRN/ADT_ALLFINANCIALRATIOS,WIKI/ADT
ADTN,Adtran,"Telecom. Services",NASDAQ,4810,GOOG/NASDAQ_ADTN,DMDRN/ADTN_ALLFINANCIALRATIOS,WIKI/ADTN
ADUS,"Addus Homecare Corp.","Medical Services",NASDAQ,8000,GOOG/NASDAQ_ADUS,DMDRN/ADUS_ALLFINANCIALRATIOS,WIKI/ADUS
ADVC,"Advant-E Corporation","Computer Software/Svcs",PINK,3579,GOOG/PINK_ADVC,DMDRN/ADVC_ALLFINANCIALRATIOS
ADVS,"Advent Software","Computer Software & Svcs",NASDAQ,3579,GOOG/NASDAQ_ADVS,DMDRN/ADVS_ALLFINANCIALRATIOS,WIKI/ADVS
ADX,"Adams Express Company","Investment Co.",NYSE,6730,GOOG/NYSE_ADX,DMDRN/ADX_ALLFINANCIALRATIOS
ADXM,"Adex Media Inc.",Internet,PINK,7370,GOOG/PINK_ADXM,DMDRN/ADXM_ALLFINANCIALRATIOS
ADY,"Feihe International","Food Processing",NYSE,2000,GOOG/NYSE_ADY,DMDRN/ADY_ALLFINANCIALRATIOS
ADZR,"AdZone Reasearch Inc.","Industrial Services",PINK,7300,GOOG/PINK_ADZR,DMDRN/ADZR_ALLFINANCIALRATIOS
AE,"Adams Resources & Energy","Petroleum (Producing)",AMEX,1300,GOOG/AMEX_AE,DMDRN/AE_ALLFINANCIALRATIOS,WIKI/AE
AEC,"Associated Estates Realty Corp.",R.E.I.T.,NYSE,6720,GOOG/NYSE_AEC,DMDRN/AEC_ALLFINANCIALRATIOS
AEE,"Ameren Corp.","Electric Util. (Central)",NYSE,4912,GOOG/NYSE_AEE,DMDRN/AEE_ALLFINANCIALRATIOS,WIKI/AEE
AEG,"Aegon Nv","Insurance (Life)",NYSE,6310,GOOG/NYSE_AEG,DMDRN/AEG_ALLFINANCIALRATIOS
AEGG,"The American Energy Group Ltd","Petroleum (Producing)",PINK,1300,GOOG/PINK_AEGG,DMDRN/AEGG_ALLFINANCIALRATIOS
AEGN,"Aegoin Corp","Medical Supplies",NASDAQ,8060,GOOG/NASDAQ_AEGN,DMDRN/AEGN_ALLFINANCIALRATIOS,WIKI/AEGN
AEGR,"Aegerion Pharmaceuticals",Biotechnology,NASDAQ,2830,GOOG/NASDAQ_AEGR,DMDRN/AEGR_ALLFINANCIALRATIOS,WIKI/AEGR
AEHR,"Aehr Test Systems",Electronics,NASDAQ,3670,GOOG/NASDAQ_AEHR,DMDRN/AEHR_ALLFINANCIALRATIOS
AEIS,"Advanced Energy Industries",Semiconductor,NASDAQ,3674,GOOG/NASDAQ_AEIS,DMDRN/AEIS_ALLFINANCIALRATIOS,WIKI/AEIS
AEL,"American Equity Investment Life","Insurance (Life)",NYSE,6310,GOOG/NYSE_AEL,DMDRN/AEL_ALLFINANCIALRATIOS,WIKI/AEL
AEM,"Agnico-Eagle Mines Limited","Gold/Silver Mining",NYSE,1041,GOOG/NYSE_AEM,DMDRN/AEM_ALLFINANCIALRATIOS
AENG,"Advanced Engine Technologies I",Machinery,PINK,3500,GOOG/PINK_AENG,DMDRN/AENG_ALLFINANCIALRATIOS
AENP,"American Energy Production In","Petroleum (Producing)",PINK,1300,GOOG/PINK_AENP,DMDRN/AENP_ALLFINANCIALRATIOS
AEO,"American Eagle Outfitters","Retail (Special Lines)",NYSE,5600,GOOG/NYSE_AEO,DMDRN/AEO_ALLFINANCIALRATIOS,WIKI/AEO
AEP,"American Electric Power Company","Electric Utility (East)",NYSE,4911,GOOG/NYSE_AEP,DMDRN/AEP_ALLFINANCIALRATIOS,WIKI/AEP
AEPI,"Aep Industries Inc.","Chemical (Specialty)",NASDAQ,2820,GOOG/NASDAQ_AEPI,DMDRN/AEPI_ALLFINANCIALRATIOS,WIKI/AEPI
AER,"Aercap Holdings N.V.","Industrial Services",NYSE,7300,GOOG/NYSE_AER,DMDRN/AER_ALLFINANCIALRATIOS
AERG,"Applied Energetics Inc","Chemical (Specialty)",PINK,2820,GOOG/PINK_AERG,DMDRN/AERG_ALLFINANCIALRATIOS
AERL,"Asia Entertainment & Resources Ltd",Hotel/Gaming,NASDAQ,7000,GOOG/NASDAQ_AERL,DMDRN/AERL_ALLFINANCIALRATIOS
AERO,"Aero Grow International Inc","Retail (Special Lines)",PINK,5600,GOOG/PINK_AERO,DMDRN/AERO_ALLFINANCIALRATIOS
AERS,"Aero System Engineer",Aerospace/Defense,PINK,3720,GOOG/PINK_AERS,DMDRN/AERS_ALLFINANCIALRATIOS
AERT,"Advanced Environ Recycling Tec","Building Materials",PINK,3200,GOOG/PINK_AERT,DMDRN/AERT_ALLFINANCIALRATIOS
AES,"The Aes Corp.","Electric Utility (West)",NYSE,4913,GOOG/NYSE_AES,DMDRN/AES_ALLFINANCIALRATIOS,WIKI/AES
AET,"Aetna Inc.","Medical Services",NYSE,8000,GOOG/NYSE_AET,DMDRN/AET_ALLFINANCIALRATIOS,WIKI/AET
AETI,"American Electric Technologies","Telecom. Equipment",NASDAQ,4811,GOOG/NASDAQ_AETI,DMDRN/AETI_ALLFINANCIALRATIOS
AEY,"Addvantage Technologies Group","Cable TV",NASDAQ,4840,GOOG/NASDAQ_AEY,DMDRN/AEY_ALLFINANCIALRATIOS
AEZ.TO,"AEterna Zentaris Inc",Drug,TSX,2834,YAHOO/TSX_AEZ_TO,DMDRN/AEZ_TO_ALLFINANCIALRATIOS
AF,"Astoria Financial Corp.","Investment Co. (Foreign)",NYSE,6730,GOOG/NYSE_AF,DMDRN/AF_ALLFINANCIALRATIOS,WIKI/AF
AFAM,"Almost Family Inc","Medical Services",NASDAQ,8000,GOOG/NASDAQ_AFAM,DMDRN/AFAM_ALLFINANCIALRATIOS,WIKI/AFAM
AFC,"Allied Capital Corp.","Insurance (Prop/Casualty",NYSE,6330,GOOG/NYSE_AFC,DMDRN/AFC_ALLFINANCIALRATIOS
AFCB,"Athens Bancshares Corp.",Thrift,NASDAQ,6120,GOOG/NASDAQ_AFCB,DMDRN/AFCB_ALLFINANCIALRATIOS
AFCE,"Afc Enterprises",Restaurant,NASDAQ,5812,GOOG/NASDAQ_AFCE,DMDRN/AFCE_ALLFINANCIALRATIOS
AFFM,"Affirmative Ins. Hldgs","Insurance (Prop/Cas.)",PINK,6330,GOOG/PINK_AFFM,DMDRN/AFFM_ALLFINANCIALRATIOS
AFFX,Affymetrix,"Medical Services",NASDAQ,8000,GOOG/NASDAQ_AFFX,DMDRN/AFFX_ALLFINANCIALRATIOS,WIKI/AFFX
AFFY,Affymax,"Pharmacy Services",NASDAQ,5910,GOOG/NASDAQ_AFFY,DMDRN/AFFY_ALLFINANCIALRATIOS
AFG,"American Financial Group","Insurance (Prop/Casualty",NYSE,6330,GOOG/NYSE_AFG,DMDRN/AFG_ALLFINANCIALRATIOS,WIKI/AFG
AFL,"Aflac Incorporated","Insurance (Life)",NYSE,6310,GOOG/NYSE_AFL,DMDRN/AFL_ALLFINANCIALRATIOS,WIKI/AFL
AFOP,"Alliance Fiber Optic Products",Computers/Peripherals,NASDAQ,,GOOG/NASDAQ_AFOP,DMDRN/AFOP_ALLFINANCIALRATIOS,WIKI/AFOP
AFPW,"AlumiFuel Power Corp",Power,PINK,4900,GOOG/PINK_AFPW,DMDRN/AFPW_ALLFINANCIALRATIOS
AFSI,"Amtrust Financial Services","Insurance (Prop/Cas.)",NASDAQ,6330,GOOG/NASDAQ_AFSI,DMDRN/AFSI_ALLFINANCIALRATIOS,WIKI/AFSI
AFT,"Apollo Senior Floating Rate Fund Inc.","Telecom. Equipment",NYSE,4811,GOOG/NYSE_AFT,DMDRN/AFT_ALLFINANCIALRATIOS
AG,"First Majestic Silver",Machinery,NYSE,3500,GOOG/NYSE_AG,DMDRN/AG_ALLFINANCIALRATIOS
AGCI,"AngelCiti Entertaimnet Inc.",Internet,PINK,7370,GOOG/PINK_AGCI,DMDRN/AGCI_ALLFINANCIALRATIOS
AGCO,"Agco Corp.",Machinery,NYSE,3500,GOOG/NYSE_AGCO,DMDRN/AGCO_ALLFINANCIALRATIOS,WIKI/AGCO
AGCZ,"Andes Gold Corp","Precious Metals",PINK,1041,GOOG/PINK_AGCZ,DMDRN/AGCZ_ALLFINANCIALRATIOS
AGEN,"Agenus Inc.",Drug,NASDAQ,2834,GOOG/NASDAQ_AGEN,DMDRN/AGEN_ALLFINANCIALRATIOS
AGI,"Alpine Group",Electronics,NYSE,3670,GOOG/NYSE_AGI,DMDRN/AGI_ALLFINANCIALRATIOS
AGII,"Argo Group International Holdings Ltd","Insurance (Prop/Casualty",NASDAQ,6330,GOOG/NASDAQ_AGII,DMDRN/AGII_ALLFINANCIALRATIOS,WIKI/AGII
AGM,"Federal Agricultural Mortgage Corp.","Financial Svcs. (Div.)",NYSE,6100,GOOG/NYSE_AGM,DMDRN/AGM_ALLFINANCIALRATIOS,WIKI/AGM
AGN,Allergan,"Medical Supplies",NYSE,8060,GOOG/NYSE_AGN,DMDRN/AGN_ALLFINANCIALRATIOS,WIKI/AGN
AGNM,"Acrongenomics inc",Biotechnology,PINK,2830,GOOG/PINK_AGNM,DMDRN/AGNM_ALLFINANCIALRATIOS
AGO,"Assured Guaranty Ltd","Financial Svcs. (Div.)",NYSE,6100,GOOG/NYSE_AGO,DMDRN/AGO_ALLFINANCIALRATIOS,WIKI/AGO
AGP,"Amerigroup Corp.","Medical Services",NYSE,,GOOG/NYSE_AGP,DMDRN/AGP_ALLFINANCIALRATIOS
