symbol,price_code,company_name,industry,exchange,sic_code
DGTC,GOOG/PINK_DGTC,Del Global Technologies Corp.,Medical Services,PINK,8000
DGTW,GOOG/PINK_DGTW,DigitalTown Inc,Internet,PINK,7370
DGX,GOOG/NYSE_DGX,Quest Diagnostics Inc.,Medical Services,NYSE,8000
DHCC,GOOG/PINK_DHCC,Diamondhead Casino Corp,Hotel/Gaming,PINK,
DHI,GOOG/NYSE_DHI,D.R. Horton,Homebuilding,NYSE,1521
DHIL,GOOG/NASDAQ_DHIL,Diamond Hill Investment Group,Securities Brokerage,NASDAQ,6210
DHR,GOOG/NYSE_DHR,Danaher Corp.,Diversified Co.,NYSE,9913
DHRM,GOOG/NASDAQ_DHRM,Dehaier Medical Systems,Medical Supplies,NASDAQ,8060
DHT,GOOG/NYSE_DHT,Dht Holdings,Maritime,NYSE,4400
DHX,GOOG/NYSE_DHX,Dice Holdings,Internet,NYSE,7370
DHX.TO,YAHOO/TSX_DHX_TO,DHX Media Ltd,Entertainment,TSX,7950
DIAC,GOOG/PINK_DIAC,Diapulse Corp Of America,Medical Services,PINK,8000
DIAL,GOOG/NASDAQ_DIAL,Westwood One Inc Cl A,Entertainment,NASDAQ,7950
DIET,GOOG/PINK_DIET,eDiets.com Inc,Internet,PINK,7370
DIGA,GOOG/PINK_DIGA,Digital Angel Corp.,Telecom. Services,PINK,4810
DIGI,GOOG/PINK_DIGI,Digital Impact Inc,Internet,PINK,7370
DIGM,GOOG/PINK_DIGM,Control Chief Hldgs,Electronics,PINK,3670
DIIBF,GOOG/PINK_DIIBF,Dorel Inds Inc,Furn./Home Furnishings,PINK,2500
DIMC,GOOG/PINK_DIMC,Dimeco Inc,Bank,PINK,6000
DIN,GOOG/NYSE_DIN,Dineequity Inc,Restaurant,NYSE,5812
DINIQ,GOOG/PINK_DINIQ,Decorator Inds Inc.,Furn/Home Furnishings,PINK,2500
DIOD,GOOG/NASDAQ_DIOD,Diodes Inc.,Electronics,NASDAQ,3670
DIOMQ,GOOG/PINK_DIOMQ,Diomed Holdings Inc,Medical Supplies,PINK,8060
DION,GOOG/PINK_DION,Dionics Inc,Semiconductor,PINK,3674
DIS,GOOG/NYSE_DIS,Walt Disney Company,Entertainment,NYSE,7950
DISCA,GOOG/NASDAQ_DISCA,Discovery Communications Inc,Entertainment,NASDAQ,7950
DISH,GOOG/NASDAQ_DISH,Dish Network Corp.,Cable TV,NASDAQ,4840
DISK,GOOG/PINK_DISK,Image Entertainment,Entertainment,PINK,7950
DIT,GOOG/AMEX_DIT,Amcon Distributing Company,Food Wholesalers,AMEX,5140
DITC,GOOG/NASDAQ_DITC,Ditech Networks,Telecom. Equipment,NASDAQ,4811
DJCO,GOOG/NASDAQ_DJCO,Daily Journal Corp. [S.C.],Newspaper,NASDAQ,2710
DJRT,GOOG/PINK_DJRT,Dale Jarrett Racing Adventure,Recreation,PINK,7900
DJSP,GOOG/PINK_DJSP,DJSP Enterprises Inc,Computer Software/Svcs,PINK,3579
DK,GOOG/NYSE_DK,Delek US Holdings,Retail (Special Lines),NYSE,5600
DKAM,GOOG/PINK_DKAM,Drinks Americas Holdings Ltd,Unassigned,PINK,2082
DKIN,GOOG/PINK_DKIN,Drucker Inc,Petroleum (Producing),PINK,1300
DKL,GOOG/NYSE_DKL,Delek Logistics Partners LP,Pipeline MLPs,NYSE,4619
DKS,GOOG/NYSE_DKS,Dick's Sporting Goods Inc,Retail (Special Lines),NYSE,
DL,GOOG/NYSE_DL,China Distance Education Holdings,Household Products,NYSE,2840
DLA,GOOG/AMEX_DLA,Delta Apparel,Apparel,AMEX,2300
DLB,GOOG/NYSE_DLB,Dolby Laboratories,Entertainment Tech,NYSE,3663
DLGC,GOOG/NASDAQ_DLGC,Dialogic,Wireless Networking,NASDAQ,7380
DLGI,GOOG/PINK_DLGI,DataLogic Consulting Inc,Internet,PINK,7370
DLHC,GOOG/NASDAQ_DLHC,Dlh Holdings Corp,Industrial Services,NASDAQ,7300
DLIA,GOOG/NASDAQ_DLIA,Delia*S Inc.,Internet,NASDAQ,7370
DLLR,GOOG/NASDAQ_DLLR,Dollar Financial,Financial Svcs. (Div.),NASDAQ,6100
DLPH,GOOG/NYSE_DLPH,Delphi Automotive Plc,Auto Parts,NYSE,3716
DLPX,GOOG/PINK_DLPX,Delphax Technologies Inc,Machinery,PINK,
DLSC,GOOG/PINK_DLSC,delSECUR Corp,Electronics,PINK,3670
DLTR,GOOG/NASDAQ_DLTR,Dollar Tree,Retail (Special Lines),NASDAQ,5600
DLX,GOOG/NYSE_DLX,Deluxe Corp.,Publishing,NYSE,2700
DM,GOOG/NYSE_DM,Dolan Company,Publishing,NYSE,2700
DMCD,GOOG/PINK_DMCD,Detwiler Mitchell & Co,Financial Svcs. (Div.),PINK,6100
DMD,GOOG/NYSE_DMD,Demand Media Inc.,Entertainment,NYSE,7950
DMDD,GOOG/PINK_DMDD,Diamond Discoveries Int'l Corp,Metals & Mining (Div.),PINK,1000
DMEC,GOOG/PINK_DMEC,DIAMOND ENTMT CORP,Retail Store,PINK,5300
DMEDF,GOOG/PINK_DMEDF,D. Medical Industries LTD,Drug,PINK,2834
DML.TO,YAHOO/TSX_DML_TO,Denison Mines Corp,Metals & Mining (Div.),TSX,1000
DMLP,GOOG/NASDAQ_DMLP,Dorchester Minerals L.P.,Petroleum (Producing),NASDAQ,1300
DMND,GOOG/NASDAQ_DMND,Diamond Foods,Food Processing,NASDAQ,2000
DMRC,GOOG/NASDAQ_DMRC,Digimarc Corp.,Computer Software & Svcs,NASDAQ,3579
DNB,GOOG/NYSE_DNB,Dun & Bradstreet Corp.,Industrial Services,NYSE,7300
DNBD,GOOG/PINK_DNBD,D'Angelo Brands Inc,Hotel/Gaming,PINK,7000
DNBF,GOOG/NASDAQ_DNBF,Dnb Financial Corp,Bank,NASDAQ,6000
DNDN,GOOG/NASDAQ_DNDN,Dendreon Corp.,Drug,NASDAQ,2834
DNDT,GOOG/PINK_DNDT,DND Tecnologies Inc.,Semiconductor,PINK,
DNKN,GOOG/NASDAQ_DNKN,Dunkin' Brands Group Inc.,Restaurant,NASDAQ,5812
DNP,GOOG/NYSE_DNP,Duff & Phelps Utilities Income,Investment Co.,NYSE,6730
DNR,GOOG/NYSE_DNR,Denbury Resources,Petroleum (Integrated),NYSE,2900
DNY,GOOG/NYSE_DNY,The Denali Fund,Publishing,NYSE,2700
DO,GOOG/NYSE_DO,Diamond Offshore Drilling,Oilfield Services/Equip.,NYSE,3533
DOLE,GOOG/NYSE_DOLE,Dole Food Company Inc,Retail/Wholesale Food,NYSE,5400
DOMK,GOOG/PINK_DOMK,Domark International Inc.,Financial Svcs. (Div.),PINK,6100
DORM,GOOG/NASDAQ_DORM,Dorman Products,Auto Parts,NASDAQ,3716
DOV,GOOG/NYSE_DOV,Dover Corp.,Machinery,NYSE,3500
DOVR,GOOG/NASDAQ_DOVR,Dover Saddlery,Retail (Special Lines),NASDAQ,5600
DOW,GOOG/NYSE_DOW,DOW Chemical Company,Chemical (Basic),NYSE,2810
DOX,GOOG/NYSE_DOX,Amdocs Limited,Industrial Services,NYSE,7300
DPAT,GOOG/PINK_DPAT,Dental Patient Care America,Petroleum (Producing),PINK,1300
DPDW,GOOG/PINK_DPDW,Deep Down Inc,Oilfield Svcs/Equip.,PINK,3533
DPM,GOOG/NYSE_DPM,Dcp Midstream Partners Lp,Oilfield Svcs/Equip.,NYSE,3533
DPRS,GOOG/PINK_DPRS,Default Proof Credit Card Syst,Financial Svcs. (Div.),PINK,6100
DPS,GOOG/NYSE_DPS,Dr Pepper Snapple Group Inc,Beverage,NYSE,2080
DPSI,GOOG/PINK_DPSI,DecisionPoint Systems Inc.,Internet,PINK,7370
DPW,GOOG/AMEX_DPW,Digital Power Corp.,Electrical Equipment,AMEX,3600
DPZ,GOOG/NYSE_DPZ,Domino's Pizza Inc,Restaurant,NYSE,5812
DRAD,GOOG/NASDAQ_DRAD,Digirad Corp.,Medical Services,NASDAQ,8000
DRAM,GOOG/NASDAQ_DRAM,Dataram Corp.,Computer & Peripherals,NASDAQ,3573
DRC,GOOG/NYSE_DRC,Dresser-Rand Group Inc.,Securities Brokerage,NYSE,6210
DRCO,GOOG/NASDAQ_DRCO,Dynamics Research Corp.,Computer Software & Svcs,NASDAQ,3579
DRD,GOOG/NYSE_DRD,Drdgold Limited,Drugstore,NYSE,5910
DRE,GOOG/NYSE_DRE,Duke Realty Corp.,R.E.I.T.,NYSE,6720
DRGN,GOOG/PINK_DRGN,CN Dragon Corp,Property Management,PINK,6510
DRGZ,GOOG/PINK_DRGZ,Dynamic Response Group Inc,Advertising,PINK,7310
DRH,GOOG/NYSE_DRH,Diamondrock Hospitality Company,Metal Fabricating,NYSE,3400
DRI,GOOG/NYSE_DRI,Darden Restaurants,Restaurant,NYSE,5812
DRIV,GOOG/NASDAQ_DRIV,Digital River,Computer Software & Svcs,NASDAQ,3579
DRL,GOOG/NYSE_DRL,Doral Financial Corp.,Financial Svcs. (Div.),NYSE,
DRQ,GOOG/NYSE_DRQ,Dril-Quip,Oilfield Services/Equip.,NYSE,3533
DRRX,GOOG/NASDAQ_DRRX,Durect Corp.,Medical Supplies,NASDAQ,8060
DRSV,GOOG/PINK_DRSV,Debt Resolve Inc.,Internet,PINK,7370
DRTX,GOOG/NASDAQ_DRTX,Durata Therapeutics Inc.,Biotechnology,NASDAQ,2830
DRV,GOOG/AMEX_DRV,Real Estate Bear 3X Direxion,Internet,AMEX,7370
DRWI,GOOG/NASDAQ_DRWI,Dragonwave Inc,Wireless Networking,NASDAQ,7380
DRYS,GOOG/NASDAQ_DRYS,Dryships Inc.,Maritime,NASDAQ,4400
DSCI,GOOG/NASDAQ_DSCI,Derma Sciences,Medical Supplies,NASDAQ,8060
DSCO,GOOG/NASDAQ_DSCO,Discovery Laboratories,Drug,NASDAQ,2834
DSGX,GOOG/NASDAQ_DSGX,The Descartes Systems Group Inc.,Computer Software & Svcs,NASDAQ,3579
DSNY,GOOG/PINK_DSNY,Destiny Media Technologies Inc,Internet,PINK,7370
DSPG,GOOG/NASDAQ_DSPG,Dsp Group,Telecom. Equipment,NASDAQ,4811
DSS,GOOG/AMEX_DSS,Document Security Systems,Computer & Peripherals,AMEX,3573
DST,GOOG/NYSE_DST,Dst Systems,Computer Software & Svcs,NYSE,3579
DSTI,GOOG/NASDAQ_DSTI,Daystar Technologies,Power,NASDAQ,4900
DSTR,GOOG/PINK_DSTR,DualStar Technologies Corp,Industrial Services,PINK,7300
DSW,GOOG/NYSE_DSW,Dsw Inc.,Retail (Special Lines),NYSE,5600
DSWL,GOOG/NASDAQ_DSWL,Deswell Industries,Foreign Electron/Entertn,NASDAQ,9975
DSX,GOOG/NYSE_DSX,Diana Shipping Inc.,Maritime,NYSE,4400
DTE,GOOG/NYSE_DTE,Dte Energy Company,Electric Util. (Central),NYSE,4912
DTEGY,GOOG/PINK_DTEGY,Deutsche Telekom ADR,Telecom. Utility,PINK,4810
DTG,GOOG/NYSE_DTG,Dollar Thrifty Automotive Group,Trucking/Transp. Leasing,NYSE,4200
DTGI,GOOG/PINK_DTGI,Digerati Technologies Inc.,Telecom. Services,PINK,4890
DTIIQ,GOOG/PINK_DTIIQ,DT Inds.,Machinery,PINK,3500
DTLK,GOOG/NASDAQ_DTLK,Datalink Corp.,Computer & Peripherals,NASDAQ,3573
DTRX,GOOG/PINK_DTRX,Detrex Corp.,Chemical (Basic),PINK,2810
DTSI,GOOG/NASDAQ_DTSI,Dts,Telecom. Equipment,NASDAQ,4811
DTV,GOOG/NASDAQ_DTV,Directv,Cable TV,NASDAQ,4840
DUF,GOOG/NYSE_DUF,Duff & Phelps Corp.,Financial Svcs. (Div.),NYSE,6100
DUK,GOOG/NYSE_DUK,Duke Energy Corp.,Electric Utility (East),NYSE,4911
DUSA,GOOG/NASDAQ_DUSA,Dusa Pharmaceuticals,Drug,NASDAQ,2834
DV,GOOG/NYSE_DV,Devry Inc.,Educational Services,NYSE,8299
DVA,GOOG/NYSE_DVA,Davita Inc.,Medical Services,NYSE,8000
DVAX,GOOG/NASDAQ_DVAX,Dynavax Technologies Corp.,Drug,NASDAQ,2834
DVD,GOOG/NYSE_DVD,Dover Downs Entertainment,Entertainment,NYSE,7950
DVID,GOOG/PINK_DVID,Digital Video Sys Inc,Computers/Peripherals,PINK,
DVLY,GOOG/PINK_DVLY,Dear Valley Corp,Manuf. Housing/RV,PINK,3792
DVN,GOOG/NYSE_DVN,Devon Energy Corp.,Natural Gas (Diversified,NYSE,4929
DVNTF,GOOG/PINK_DVNTF,Diversinet Corp.,Computer Software/Svcs,PINK,3579
DVOX,GOOG/NASDAQ_DVOX,Dynavox Inc.,Computer Software/Svcs,NASDAQ,3579
DVR,GOOG/NYSE_DVR,Cal Dive International,Oilfield Svcs/Equip.,NYSE,3533
DW,GOOG/NYSE_DW,Drew Industries Inc.,Building Materials,NYSE,3200
DWA,GOOG/NASDAQ_DWA,Dreamworks Animation Skg,Entertainment,NASDAQ,7950
DWCH,GOOG/NASDAQ_DWCH,Datawatch Corp.,Computer Software & Svcs,NASDAQ,3579
DWOG,GOOG/PINK_DWOG,Deep Well Oil and Gas Inc,Metal Fabricating,PINK,3400
DWRE,GOOG/NYSE_DWRE,Demandware Inc.,E-Commerce,NYSE,7372
DWRI,GOOG/PINK_DWRI,Design Within Reach Inc,Retail (Special Lines),PINK,5600
DWSN,GOOG/NASDAQ_DWSN,Dawson Geophysical Company,Oilfield Services/Equip.,NASDAQ,3533
DX,GOOG/NYSE_DX,Dynex Capital,R.E.I.T.,NYSE,6720
DXCM,GOOG/NASDAQ_DXCM,Dexcom,Medical Supplies,NASDAQ,8060
DXLG,GOOG/NASDAQ_DXLG,Casual Male Retail Group,Retail (Softlines),NASDAQ,5600
DXPE,GOOG/NASDAQ_DXPE,Dxp Enterprises,Industrial Services,NASDAQ,7300
DXR,GOOG/AMEX_DXR,Daxor Corp.,Medical Services,AMEX,8000
DXYN,GOOG/NASDAQ_DXYN,The Dixie Group,Textile,NASDAQ,2200
DY,GOOG/NYSE_DY,Dycom Industries,Telecom. Services,NYSE,4810
DYAX,GOOG/NASDAQ_DYAX,Dyax,Drug,NASDAQ,2834
DYII,GOOG/NASDAQ_DYII,Dynacq Healthcare,Medical Services,NASDAQ,8000
DYMTF,GOOG/PINK_DYMTF,DynaMotive Energy Systems Corp,Environmental,PINK,4953
DYN,GOOG/NYSE_DYN,Dynegy Inc.,Natural Gas (Diversified,NYSE,4929
DYNE,GOOG/PINK_DYNE,Dyntek Inc,Computer Software/Svcs,PINK,3579
DYNIQ,GOOG/PINK_DYNIQ,Dynegy Inc. 'A',Natural Gas (Div.),PINK,4929
DYNP,GOOG/PINK_DYNP,Duoyuan Printing Inc,Machinery,PINK,3500
DYNT,GOOG/NASDAQ_DYNT,Dynatronics Corp.,Medical Supplies,NASDAQ,8060
DYSC,GOOG/PINK_DYSC,Derycz Scientific Inc,Publishing,PINK,2700
DYSL,GOOG/NASDAQ_DYSL,Dynasil Corporation Of America,Semiconductor,NASDAQ,3674
DYXC,GOOG/PINK_DYXC,DiaSys Corp,Precision Instrument,PINK,3800
E,GOOG/NYSE_E,Eni S.P.A.,Oilfield Services/Equip.,NYSE,3533
EA,GOOG/NASDAQ_EA,Electronic Arts Inc.,Entertainment Tech,NASDAQ,3663
EAC,GOOG/NASDAQ_EAC,Erickson Air-Crane Incorporated,Petroleum (Producing),NASDAQ,1300
EACC,GOOG/PINK_EACC,Eautoclaims.Com Inc,Internet,PINK,7370
EACO,GOOG/PINK_EACO,EA Engineering Science & Tech,Environmental,PINK,4953
EAGB,GOOG/PINK_EAGB,Eagle Broadband Inc,Telecom. Equipment,PINK,4811
EAGL,GOOG/NASDAQ_EAGL,Global Eagle Acquisition Corp.,Air Transport,NASDAQ,4510
EAT,GOOG/NYSE_EAT,Brinker International,Restaurant,NYSE,5812
EATR,GOOG/PINK_EATR,Eastern Asteria Inc.,Internet,PINK,7370
EAUI,GOOG/PINK_EAUI,EAU Technologies Inc.,Household Products,PINK,2840
EBAY,GOOG/NASDAQ_EBAY,Ebay Inc.,Internet,NASDAQ,7370
EBDC,GOOG/PINK_EBDC,ebank.com Inc,Thrift,PINK,6120
EBF,GOOG/NYSE_EBF,Ennis,Office Equip & Supplies,NYSE,3570
EBIX,GOOG/NASDAQ_EBIX,Ebix Inc,Computer Software & Svcs,NASDAQ,3579
EBMT,GOOG/NASDAQ_EBMT,Eagle Bancorp Montana,Thrift,NASDAQ,6120
EBS,GOOG/NYSE_EBS,Emergent Biosolutions,Drug,NYSE,2834
EBSB,GOOG/NASDAQ_EBSB,Meridian Interstate Bancorp,Thrift,NASDAQ,6120
EBTC,GOOG/NASDAQ_EBTC,Enterprise Bancorp Inc,Bank,NASDAQ,6000
EC,GOOG/NYSE_EC,Ecopetrol S.A.,Chemical (Specialty),NYSE,2820
ECA,GOOG/NYSE_ECA,Encana Corp.,Petroleum (Producing),NYSE,1300
ECA.TO,YAHOO/TSX_ECA_TO,EnCana Corp.,Canadian Energy,TSX,
ECBE,GOOG/AMEX_ECBE,ECB Bancorp Inc,Bank,AMEX,6000
ECEC,GOOG/PINK_ECEC,ecom ecom.Com Inc,Diversified Co.,PINK,9913
ECHO,GOOG/NASDAQ_ECHO,Echo Global Logistics,Industrial Services,NASDAQ,7300
ECIA,GOOG/PINK_ECIA,Encision Inc,Medical Supplies,PINK,8060
ECL,GOOG/NYSE_ECL,Ecolab Inc.,Chemical (Specialty),NYSE,2820
ECLN,GOOG/PINK_ECLN,Encore Clean Energy Inc,Power,PINK,4900
ECOL,GOOG/NASDAQ_ECOL,US Ecology,Environmental,NASDAQ,4953
ECOS,GOOG/PINK_ECOS,Ecolocap Solutions Inc,Environmental,PINK,4953
ECPG,GOOG/NASDAQ_ECPG,Encore Capital Group Inc,Financial Svcs. (Div.),NASDAQ,6100
ECPN,GOOG/PINK_ECPN,El Capitain Precious Metals,Metals & Mining (Div.),PINK,1000
ECTE,GOOG/NASDAQ_ECTE,Echo Therapeutics,Telecom. Services,NASDAQ,4810
ECTY,GOOG/NASDAQ_ECTY,Ecotality,Power,NASDAQ,4900
ECYT,GOOG/NASDAQ_ECYT,Endocyte,Drug,NASDAQ,2834
ED,GOOG/NYSE_ED,Consolidated Edison Company Of New York,Electric Utility (East),NYSE,4911
EDAC,GOOG/NASDAQ_EDAC,Edac Technologies Corp.,Aerospace/Defense,NASDAQ,3720
EDCI,GOOG/PINK_EDCI,Entertainment Distribution,Wireless Networking,PINK,7380
EDE,GOOG/NYSE_EDE,Empire District Electric Company,Electric Util. (Central),NYSE,4912
EDEN,GOOG/AMEX_EDEN,Denmark Capped Investable Mkt Idx Fd MSCI Ishare,Chemical (Specialty),AMEX,2820
EDG,GOOG/NYSE_EDG,Edgen Group Inc,Computer & Peripherals,NYSE,3573
EDGR,GOOG/NASDAQ_EDGR,Edgar Online,Internet,NASDAQ,7370
EDGW,GOOG/NASDAQ_EDGW,Edgewater Technology,Industrial Services,NASDAQ,7300
EDIG,GOOG/PINK_EDIG,e.Digital Corp,Electronics,PINK,
EDMC,GOOG/NASDAQ_EDMC,Education Management Corp.,Educational Services,NASDAQ,8299
EDPFY,GOOG/PINK_EDPFY,EDP - Energias de Portugal,Power,PINK,4900
EDS,GOOG/NASDAQ_EDS,Exceed Company Ltd,Computer Software & Svcs,NASDAQ,3579
EDT,GOOG/NYSE_EDT,Entergy Texas Inc,Medical Services,NYSE,8000
EDU,GOOG/NYSE_EDU,New Oriental Education & Technology Group,Educational Services,NYSE,8299
EDUC,GOOG/NASDAQ_EDUC,Educational Development Corp.,Publishing,NASDAQ,2700
EDVC,GOOG/PINK_EDVC,EnDevCo Inc,Petroleum (Producing),PINK,1300
EDWY,GOOG/PINK_EDWY,eDoorways Corp,Internet,PINK,7370
EE,GOOG/NYSE_EE,El Paso Electric Company,Electric Utility (West),NYSE,4913
EEA,GOOG/NYSE_EEA,European Equity Fund,Investment Co.(Foreign),NYSE,6730
EECPQ,GOOG/PINK_EECPQ,Environmental Elements,Environmental,PINK,4953
EEFT,GOOG/NASDAQ_EEFT,Euronet Worldwide,Computer Software/Svcs,NASDAQ,3579
EEGC,GOOG/PINK_EEGC,Empire Energy Corporation Int,Petroleum (Producing),PINK,1300
EEGI,GOOG/PINK_EEGI,ELine Entertainment Group Inc,Entertainment,PINK,7950
EEI,GOOG/NASDAQ_EEI,Ecology And Environment,Environmental,NASDAQ,4953
EEP,GOOG/NYSE_EEP,Enbridge Energy L.P.,Petroleum (Integrated),NYSE,2900
EEQ,GOOG/NYSE_EEQ,Enbridge Energy Management Llc,Oilfield Svcs/Equip.,NYSE,3533
EESH,GOOG/PINK_EESH,EESTech Inc,Environmental,PINK,4953
EF,GOOG/NASDAQ_EF,Edelman Financial Group Inc,Financial Svcs. (Div.),NASDAQ,6100
EFC,GOOG/NYSE_EFC,Ellington Financial Llc,Bank,NYSE,6000
EFII,GOOG/NASDAQ_EFII,Electronics For Imaging,Computer Software & Svcs,NASDAQ,3579
EFIR,GOOG/PINK_EFIR,EGPI Firecreek Inc,Petroleum (Producing),PINK,1300
EFLI,GOOG/PINK_EFLI,Cell Tech Intl Inc,Food Processing,PINK,2000
EFNL,GOOG/AMEX_EFNL,Finland Cp Investable Mkt Indx Fund MSCI Ishares,Financial Svcs. (Div.),AMEX,6100
EFOI,GOOG/PINK_EFOI,Energy Focus Inc,Industrial Services,PINK,7300
EFSC,GOOG/NASDAQ_EFSC,Enterprise Financial Services Corp.,Bank,NASDAQ,6000
EFSI,GOOG/PINK_EFSI,Eagle Financial Services Inc,Bank,PINK,6000
EFTI,GOOG/PINK_EFTI,EarthFirst Technologies Inc,Environmental,PINK,4953
EFUT,GOOG/NASDAQ_EFUT,Efuture Information Technology Inc.,Computer Software/Svcs,NASDAQ,3579
EFX,GOOG/NYSE_EFX,Equifax,Industrial Services,NYSE,7300
EFX.TO,YAHOO/TSX_EFX_TO,Enerflex Systems Ltd.,Oilfield Services/Equip.,TSX,3533
EGAM,GOOG/PINK_EGAM,eGames Inc,Computer Software & Svcs,PINK,3579
EGAN,GOOG/NASDAQ_EGAN,Egain Comm Cp,Internet,NASDAQ,7370
EGAS,GOOG/AMEX_EGAS,Gas Natural Inc.,Natural Gas (Distrib.),AMEX,4920
EGBN,GOOG/NASDAQ_EGBN,Eagle Bancorp,Thrift,NASDAQ,6120
EGHT,GOOG/NASDAQ_EGHT,8X8 Inc,Semiconductor,NASDAQ,3674
EGI,GOOG/AMEX_EGI,Entree Gold Inc,Precious Metals,AMEX,1041
EGL,GOOG/NYSE_EGL,Engility Holdings Inc. Common,Engineering & Const,NYSE,1629
EGLE,GOOG/NASDAQ_EGLE,Eagle Bulk Shipping Inc.,Grocery,NASDAQ,5400
EGMIQ,GOOG/PINK_EGMIQ,Electronic Game Card Inc,Hotel/Gaming,PINK,7000
EGN,GOOG/NYSE_EGN,Energen Corp.,Natural Gas (Distrib.),NYSE,4920
EGO,GOOG/NYSE_EGO,Eldorado Gold Corp,Precious Metals,NYSE,1041
EGOV,GOOG/NASDAQ_EGOV,Nic Inc.,Internet,NASDAQ,7370
EGP,GOOG/NYSE_EGP,Eastgroup Properties,R.E.I.T.,NYSE,6720
EGT,GOOG/AMEX_EGT,Entertainment Gaming Asia Inc.,Hotel/Gaming,AMEX,7000
EGXP,GOOG/PINK_EGXP,Eagle Exploration Co,Petroleum (Producing),PINK,1300
EGY,GOOG/NYSE_EGY,Vaalco Energy Inc,Petroleum (Producing),NYSE,1300
EH.TO,YAHOO/TSX_EH_TO,easyhome Ltd,Retail (Special Lines),TSX,5600
EHTH,GOOG/NASDAQ_EHTH,Ehealth,Insurance (Prop/Cas.),NASDAQ,6330
EIG,GOOG/NYSE_EIG,Employers Holdings Inc,Insurance (Prop/Cas.),NYSE,6330
EIHI,GOOG/NASDAQ_EIHI,Eastern Insurance Holdings,Insurance (Life),NASDAQ,6310
EILL,GOOG/PINK_EILL,Elegant Illusions Inc,Retail (Special Lines),PINK,
EIX,GOOG/NYSE_EIX,Edison International,Electric Utility (West),NYSE,4913
EJ,GOOG/NYSE_EJ,E-House [China] Holdings,Property Management,NYSE,6510
EKCS,GOOG/PINK_EKCS,Electronic Control Security,Electronics,PINK,3670
EKDKQ,GOOG/PINK_EKDKQ,Eastman Kodak,Precision Instrument,PINK,3800
EKFC,GOOG/PINK_EKFC,Eureka Financial Corp.,Thrift,PINK,6120
EL,GOOG/NYSE_EL,Estee Lauder Companies,Toiletries/Cosmetics,NYSE,2844
ELAMF,GOOG/PINK_ELAMF,Elamex S.A.De C.V. CL I,Electronics,PINK,3670
ELCO,GOOG/PINK_ELCO,Elcom Intl Inc,Computer Software & Svcs,PINK,3579
ELF.TO,YAHOO/TSX_ELF_TO,E-L Finl Corp. Ltd.,Financial Svcs. (Div.),TSX,6100
ELGX,GOOG/NASDAQ_ELGX,Endologix Inc,Medical Supplies,NASDAQ,
ELLI,GOOG/NYSE_ELLI,Ellie Mae Inc,Financial Svcs. (Div.),NYSE,6100
ELLO,GOOG/AMEX_ELLO,Ellomay Capital Ltd Ordinary Sh,Office Equip/Supplies,AMEX,3570
ELMD,GOOG/AMEX_ELMD,Electromed,Medical Supplies,AMEX,8060
ELN,GOOG/NYSE_ELN,Elan Corporation Plc,Drug,NYSE,2834
ELNK,GOOG/NASDAQ_ELNK,Earthlink,Internet,NASDAQ,7370
ELON,GOOG/NASDAQ_ELON,Echelon Corp.,Wireless Networking,NASDAQ,7380
ELOQ,GOOG/NASDAQ_ELOQ,Eloqua Inc.,Telecom. Services,NASDAQ,4810
ELOS,GOOG/NASDAQ_ELOS,Syneron Medical Ltd,Medical Supplies,NASDAQ,8060
ELRC,GOOG/NASDAQ_ELRC,Electro Rent Corp.,Industrial Services,NASDAQ,7300
ELRNF,GOOG/PINK_ELRNF,Elron Electronic Inds. Ltd.,Diversified Co.,PINK,9913
ELSE,GOOG/NASDAQ_ELSE,Electro-Sensors,Electrical Equipment,NASDAQ,3600
ELST,GOOG/PINK_ELST,Electronic Systems Tech. Inc,Telecom. Equipment,PINK,4811
ELX,GOOG/NYSE_ELX,Emulex Corp.,Computers/Peripherals,NYSE,
ELXS,GOOG/PINK_ELXS,Elxsi Corporation,Diversified Co.,PINK,9913
ELY,GOOG/NYSE_ELY,Callaway Golf Company,Recreation,NYSE,7900
EMA.TO,YAHOO/TSX_EMA_TO,Emera Inc,Water Utility,TSX,4941
EMC,GOOG/NYSE_EMC,Emc Corp.,Computer & Peripherals,NYSE,3573
EMCF,GOOG/NASDAQ_EMCF,Emclaire Financial Corp,Bank,NASDAQ,6000
EMCI,GOOG/NASDAQ_EMCI,Emc Insurance Group,Insurance (Prop/Casualty,NASDAQ,6330
EMDAQ,GOOG/PINK_EMDAQ,Equity Media Holdings Corp,Entertainment,PINK,7950
EMDF,GOOG/PINK_EMDF,E Med Future Inc.,Medical Supplies,PINK,8060
EME,GOOG/NYSE_EME,Emcor Group,Industrial Services,NYSE,7300
EMED,GOOG/PINK_EMED,MedCom USA Inc,Industrial Services,PINK,7300
EMF,GOOG/NYSE_EMF,Templeton Emerging Markets Fund,Investment Co. (Foreign),NYSE,6730
EMITF,GOOG/NASDAQ_EMITF,Elbit Imaging Ltd,Industrial Services,NASDAQ,7300
EMKR,GOOG/NASDAQ_EMKR,Emcore Corp.,Semiconductor,NASDAQ,3674
EML,GOOG/NASDAQ_EML,Eastern Company,Metal Fabricating,NASDAQ,3400
EMMS,GOOG/NASDAQ_EMMS,Emmis Communications Corp.,Entertainment,NASDAQ,7950
EMN,GOOG/NYSE_EMN,Eastman Chemical Company,Chemical (Diversified),NYSE,2813
