symbol,price_code,company_name,industry,exchange,sic_code
ACAT,GOOG/NASDAQ_ACAT,Arctic Cat Inc.,Recreation,NASDAQ,7900
ACC,GOOG/NYSE_ACC,American Campus Communities Inc,R.E.I.T.,NYSE,6720
ACCL,GOOG/NASDAQ_ACCL,Accelrys,Telecom. Equipment,NASDAQ,4811
ACCO,GOOG/NYSE_ACCO,Acco Brands Corp.,Internet,NYSE,7370
ACCP,GOOG/PINK_ACCP,Access Pharmaceuticals Inc,Drug,PINK,2834
ACE,GOOG/NYSE_ACE,Ace Limited,Insurance (Prop/Casualty,NYSE,6330
ACEL,GOOG/PINK_ACEL,Alfacell Corp,Drug,PINK,2834
ACET,GOOG/NASDAQ_ACET,Aceto Corp.,Chemical (Diversified),NASDAQ,2813
ACFC,GOOG/NASDAQ_ACFC,Atlantic Coast Federal Corp.,Thrift,NASDAQ,6120
ACFN,GOOG/NASDAQ_ACFN,Acorn Energy,Computer Software/Svcs,NASDAQ,3579
ACG,GOOG/NYSE_ACG,Alliancebernstein Income Fund Inc,Investment Co.,NYSE,6730
ACGI,GOOG/PINK_ACGI,Amacore Group Inc,Precision Instrument,PINK,3800
ACGL,GOOG/NASDAQ_ACGL,Arch Capital Group Ltd,Insurance (Prop/Cas.),NASDAQ,
ACHC,GOOG/NASDAQ_ACHC,Acadia Healthcare Company Inc.,Medical Services,NASDAQ,8000
ACHN,GOOG/NASDAQ_ACHN,Achillion Pharmaceuticals,Drug,NASDAQ,2834
ACI,GOOG/NYSE_ACI,Arch Coal,Electric Util. (Central),NYSE,4912
ACIW,GOOG/NASDAQ_ACIW,Aci Worldwide,Computer Software/Svcs,NASDAQ,3579
ACKBF,GOOG/PINK_ACKBF,Anthony Clark Int'l Insurance,Insurance (Prop/Cas.),PINK,6330
ACLP,GOOG/PINK_ACLP,AccelPath Inc,Internet,PINK,7370
ACLS,GOOG/NASDAQ_ACLS,Axcelis Technologies,Semiconductor,NASDAQ,3674
ACM,GOOG/NYSE_ACM,Aecom Technology Corp.,Industrial Services,NYSE,7300
ACME,GOOG/PINK_ACME,Acme Communications Inc,Entertainment,PINK,7950
ACMM,GOOG/PINK_ACMM,Accom Inc,Electronics,PINK,3670
